step, strain, right, left, 
0, 0, -0.316892, 0.316892, 
100, 0, -0.410571, 0.410571, 
200, 0, -0.491144, 0.491144, 
300, 0, -0.463682, 0.463682, 
400, 0, -0.357128, 0.357128, 
500, 0, -0.385555, 0.385555, 
600, 0, -0.433932, 0.433932, 
700, 0, -0.477119, 0.477119, 
800, 0, -0.419175, 0.419175, 
900, 0, -0.370578, 0.370578, 
1000, 0, -0.394092, 0.394092, 
1100, 0, -0.473417, 0.473417, 
1200, 0, -0.440815, 0.440815, 
1300, 0, -0.401756, 0.401756, 
1400, 0, -0.372559, 0.372559, 
1500, 0, -0.439984, 0.439984, 
1600, 0, -0.446182, 0.446182, 
1700, 0, -0.43495, 0.43495, 
1800, 0, -0.381576, 0.381576, 
1900, 0, -0.413385, 0.413385, 
2000, 0, -0.428823, 0.428823, 
2100, 0, -0.453739, 0.453739, 
2200, 0, -0.396301, 0.396301, 
2300, 0, -0.40979, 0.40979, 
2400, 0, -0.413307, 0.413307, 
2500, 0, -0.444785, 0.444785, 
2600, 0, -0.418994, 0.418994, 
2700, 0, -0.413655, 0.413655, 
2800, 0, -0.400869, 0.400869, 
2900, 0, -0.437957, 0.437957, 
3000, 0, -0.42369, 0.42369, 
3100, 0, -0.420477, 0.420477, 
3200, 0, -0.406018, 0.406018, 
3300, 0, -0.426057, 0.426057, 
3400, 0, -0.421339, 0.421339, 
3500, 0, -0.426207, 0.426207, 
3600, 0, -0.410699, 0.410699, 
3700, 0, -0.41948, 0.41948, 
3800, 0, -0.422465, 0.422465, 
3900, 0, -0.426548, 0.426548, 
4000, 0, -0.412338, 0.412338, 
4100, 0, -0.418903, 0.418903, 
4200, 0, -0.420478, 0.420478, 
4300, 0, -0.426294, 0.426294, 
4400, 0, -0.416068, 0.416068, 
4500, 0, -0.418358, 0.418358, 
4600, 0, -0.417453, 0.417453, 
4700, 0, -0.425979, 0.425979, 
4800, 0, -0.419005, 0.419005, 
4900, 0, -0.418489, 0.418489, 
5000, 0, -0.416001, 0.416001, 
5100, 0, -0.423282, 0.423282, 
5200, 0, -0.422859, 0.422859, 
5300, 0, -0.418866, 0.418866, 
5400, 0, -0.415228, 0.415228, 
5500, 0, -0.42151, 0.42151, 
5600, 0, -0.422069, 0.422069, 
5700, 0, -0.421936, 0.421936, 
5800, 0, -0.416126, 0.416126, 
