step, strain, right, left, 
0, 0, -26.9139, 26.9139, 
100, 0, -7.72384, 7.72384, 
200, 0, -3.72535, 3.72535, 
300, 0, -9.41225, 9.41225, 
400, 0, -9.86724, 9.86724, 
500, 0, -3.07707, 3.07707, 
600, 0, -7.1148, 7.1148, 
700, 0, -8.95423, 8.95423, 
800, 0, -7.88697, 7.88697, 
900, 0, -7.57121, 7.57121, 
1000, 0, -11.1473, 11.1473, 
1100, 0, -8.6439, 8.6439, 
1200, 0, -7.13393, 7.13393, 
1300, 0, -8.35904, 8.35904, 
1400, 0, -9.4479, 9.4479, 
1500, 0, -7.94083, 7.94083, 
1600, 0, -8.12384, 8.12384, 
1700, 0, -8.51294, 8.51294, 
1800, 0, -9.1424, 9.1424, 
1900, 0, -9.27995, 9.27995, 
2000, 0, -8.5816, 8.5816, 
2100, 0, -7.68899, 7.68899, 
2200, 0, -7.53612, 7.53612, 
2300, 0, -7.55097, 7.55097, 
2400, 0, -7.37517, 7.37517, 
2500, 0, -8.35117, 8.35117, 
2600, 0, -9.16045, 9.16045, 
2700, 0, -8.91317, 8.91317, 
2800, 0, -8.54536, 8.54536, 
2900, 0, -9.27816, 9.27816, 
3000, 0, -8.51859, 8.51859, 
3100, 0, -6.80166, 6.80166, 
3200, 0, -7.47366, 7.47366, 
3300, 0, -8.74088, 8.74088, 
3400, 0, -8.00682, 8.00682, 
3500, 0, -7.94533, 7.94533, 
3600, 0, -8.88857, 8.88857, 
3700, 0, -9.17751, 9.17751, 
3800, 0, -8.05801, 8.05801, 
3900, 0, -8.30162, 8.30162, 
4000, 0, -8.61467, 8.61467, 
4100, 0, -8.22985, 8.22985, 
4200, 0, -7.6666, 7.6666, 
4300, 0, -8.2326, 8.2326, 
4400, 0, -8.53171, 8.53171, 
4500, 0, -8.2184, 8.2184, 
4600, 0, -8.24587, 8.24587, 
4700, 0, -8.54214, 8.54214, 
4800, 0, -8.42963, 8.42963, 
4900, 0, -8.18938, 8.18938, 
5000, 0, -8.15179, 8.15179, 
5100, 0, -8.41139, 8.41139, 
5200, 0, -8.07366, 8.07366, 
5300, 0, -8.27534, 8.27534, 
5400, 0, -8.53348, 8.53348, 
5500, 0, -8.43374, 8.43374, 
5600, 0, -8.2341, 8.2341, 
5700, 0, -8.24778, 8.24778, 
5800, 0, -8.26457, 8.26457, 
5900, 0, -8.17176, 8.17176, 
6000, 0, -8.09295, 8.09295, 
6100, 0, -8.23909, 8.23909, 
6200, 0, -8.32947, 8.32947, 
6300, 0, -8.40087, 8.40087, 
6400, 0, -8.44664, 8.44664, 
6500, 0, -8.3717, 8.3717, 
6600, 0, -8.3047, 8.3047, 
6700, 0, -8.38836, 8.38836, 
6800, 0, -8.22203, 8.22203, 
6900, 0, -8.17524, 8.17524, 
7000, 0, -8.24148, 8.24148, 
7100, 0, -8.33529, 8.33529, 
7200, 0, -8.21323, 8.21323, 
7300, 0, -8.29451, 8.29451, 
7400, 0, -8.31084, 8.31084, 
7500, 0, -8.30736, 8.30736, 
7600, 0, -8.20529, 8.20529, 
7700, 0, -8.31904, 8.31904, 
7800, 0, -8.28018, 8.28018, 
7900, 0, -8.13828, 8.13828, 
8000, 0, -8.26474, 8.26474, 
8100, 0, -8.37649, 8.37649, 
8200, 0, -8.34586, 8.34586, 
8300, 0, -8.27349, 8.27349, 
8400, 0, -8.31648, 8.31648, 
8500, 0, -8.28809, 8.28809, 
8600, 0, -8.21598, 8.21598, 
8700, 0, -8.26488, 8.26488, 
8800, 0, -8.35837, 8.35837, 
8900, 0, -8.27746, 8.27746, 
9000, 0, -8.2722, 8.2722, 
9100, 0, -8.34156, 8.34156, 
9200, 0, -8.32642, 8.32642, 
9300, 0, -8.25733, 8.25733, 
9400, 0, -8.21375, 8.21375, 
9500, 0, -8.27546, 8.27546, 
9600, 0, -8.24462, 8.24462, 
9700, 0, -8.30703, 8.30703, 
9800, 0, -8.28831, 8.28831, 
9900, 0, -8.30287, 8.30287, 
10000, 0, -8.2887, 8.2887, 
10100, 0, -8.29325, 8.29325, 
10200, 0, -8.28528, 8.28528, 
10300, 0, -8.27721, 8.27721, 
10400, 0, -8.25799, 8.25799, 
10500, 0, -8.28485, 8.28485, 
10600, 0, -8.29821, 8.29821, 
10700, 0, -8.29598, 8.29598, 
10800, 0, -8.31732, 8.31732, 
10900, 0, -8.26289, 8.26289, 
11000, 0, -8.27221, 8.27221, 
11100, 0, -8.34478, 8.34478, 
11200, 0, -8.28085, 8.28085, 
11300, 0, -8.24801, 8.24801, 
11400, 0, -8.29934, 8.29934, 
11500, 0, -8.29255, 8.29255, 
11600, 0, -8.29325, 8.29325, 
11700, 0, -8.25829, 8.25829, 
11800, 0, -8.28071, 8.28071, 
11900, 0, -8.26574, 8.26574, 
12000, 0, -8.23211, 8.23211, 
12100, 0, -8.2895, 8.2895, 
12200, 0, -8.30914, 8.30914, 
12300, 0, -8.25653, 8.25653, 
12400, 0, -8.27927, 8.27927, 
12500, 0, -8.32334, 8.32334, 
12600, 0, -8.31622, 8.31622, 
12700, 0, -8.29511, 8.29511, 
12800, 0, -8.26275, 8.26275, 
12900, 0, -8.29082, 8.29082, 
13000, 0, -8.29024, 8.29024, 
13100, 0, -8.27051, 8.27051, 
13200, 0, -8.29108, 8.29108, 
13300, 0, -8.29004, 8.29004, 
13400, 0, -8.27103, 8.27103, 
13500, 0, -8.27615, 8.27615, 
13600, 0, -8.30618, 8.30618, 
13700, 0, -8.2896, 8.2896, 
13800, 0, -8.25843, 8.25843, 
13900, 0, -8.27992, 8.27992, 
14000, 0, -8.29456, 8.29456, 
